Glycemic Index,Calories,Carbohydrates,Protein,Fat,Sodium Content,Potassium Content,Magnesium Content,Calcium Content,Fiber Content
39,52,14.0,0.3,0.2,0,107,9,6,2.4
51,96,23.0,1.1,0.2,1,358,27,5,2.6
42,43,9.0,0.9,0.1,0,181,10,40,2.3
40,29,7.0,0.7,0.3,1,153,13,16,2.0
53,57,14.0,0.7,0.3,1,77,9,6,2.4
76,30,8.0,0.6,0.2,1,112,11,8,0.6
66,50,13.0,0.5,0.1,1,180,12,13,1.4
51,60,15.0,0.8,0.4,2,156,9,11,1.6
46,69,18.0,0.7,0.2,2,191,11,10,0.9
15,160,9.0,2.0,15.0,7,485,29,12,6.7
15,18,4.0,0.9,0.2,5,237,11,6,1.2
47,41,10.0,0.9,0.2,69,320,12,33,2.8
15,55,11.0,4.2,0.6,33,316,21,47,2.6
15,23,3.6,2.9,0.4,79,558,79,99,2.2
15,5,1.0,0.5,0.1,5,45,8,18,0.5
15,16,3.6,0.7,0.1,2,147,13,16,0.5
15,17,3.1,1.2,0.2,3,295,18,16,1.0
15,31,6.0,1.3,0.3,1,211,10,10,2.1
15,25,5.0,2.0,0.3,30,299,15,22,2.0
15,6,1.2,0.3,0.1,35,104,8,40,1.6
15,25,6.0,1.0,0.2,2,229,14,9,3.0
70,86,20.0,1.6,0.1,55,337,23,30,3.0
68,216,45.8,5.0,1.8,7,154,43,19,3.5
53,120,21.3,4.4,1.9,5,172,64,17,2.8
55,153,26.3,5.3,2.7,2,164,79,54,4.0
69,79,15.4,2.9,1.0,134,82,29,20,2.7
0,206,0.0,22.0,13.0,59,628,27,12,0.0
0,165,0.0,31.0,3.6,74,354,29,11,0.0
0,250,0.0,26.0,17.0,54,376,20,12,0.0
0,98,0.0,22.0,1.0,47,290,22,10,0.0
0,78,0.6,6.0,5.3,62,63,10,28,0.0
0,579,21.6,21.2,49.9,1,733,270,264,12.5
0,654,13.7,15.2,65.2,2,441,158,98,6.7
14,567,16.1,25.8,49.2,18,705,168,92,8.5
11,59,3.6,10.0,0.4,36,141,12,118,0.0
10,98,2.6,11.1,4.3,364,104,7,125,0.0
32,116,20.0,9.0,0.4,2,369,36,18,7.9
10,269,45.0,15.0,4.2,24,875,79,80,12.2
30,227,41.4,15.2,0.9,1,611,120,28,15.0
32,352,60.0,24.0,1.1,3,731,47,56,10.7
53,120,21.3,4.4,1.9,5,172,64,17,2.8
15,23,3.6,2.9,0.4,79,558,79,99,2.2
15,49,8.8,4.3,0.9,23,330,33,150,2.0
0,206,0.0,22.0,13.0,59,628,27,12,0.0
0,165,0.0,31.0,3.6,74,354,29,11,0.0
0,250,0.0,26.0,17.0,54,376,20,12,0.0
0,98,0.0,22.0,1.0,47,290,22,10,0.0
0,78,0.6,6.0,5.3,62,63,10,28,0.0
0,579,21.6,21.2,49.9,1,733,270,264,12.5
0,654,13.7,15.2,65.2,2,441,158,98,6.7
14,567,16.1,25.8,49.2,18,705,168,92,8.5
11,59,3.6,10.0,0.4,36,141,12,118,0.0
10,98,2.6,11.1,4.3,364,104,7,125,0.0
32,116,20.0,9.0,0.4,2,369,36,18,7.9
10,269,45.0,15.0,4.2,24,875,79,80,12.2
30,227,41.4,15.2,0.9,1,611,120,28,15.0
32,352,60.0,24.0,1.1,3,731,47,56,10.7
53,120,21.3,4.4,1.9,5,172,64,17,2.8
15,23,3.6,2.9,0.4,79,558,79,99,2.2
15,49,8.8,4.3,0.9,23,330,33,150,2.0
15,160,9.0,2.0,15.0,7,485,29,12,7.0
40,43,10.0,0.7,0.4,1,77,6,16,2.4
40,62,15.0,1.2,0.2,0,237,10,52,3.1
39,52,14.0,0.3,0.2,0,107,5,6,2.4
59,69,18.0,0.72,0.16,2,191,8,10,0.9
72,30,8.0,0.6,0.2,1,112,10,11,0.6
53,57,14.0,0.7,0.3,1,77,9,6,2.4
40,32,7.7,0.7,0.3,1,153,13,16,2.0
10,55,11.2,3.7,0.6,33,316,21,48,5.1
15,25,5.3,1.9,0.3,30,299,15,22,2.0
15,31,7.0,1.8,0.2,6,209,25,37,3.4
15,17,3.1,1.2,0.2,8,247,18,16,1.0
39,41,10.0,0.9,0.2,69,320,12,33,2.8
15,18,3.9,0.9,0.2,5,237,11,10,1.2
15,16,3.6,0.7,0.1,2,76,7,14,0.5
15,20,3.7,2.2,0.2,2,202,14,24,2.0
10,22,3.3,3.1,0.3,5,318,9,3,1.0
10,25,5.8,1.3,0.1,18,170,9,40,2.2
10,40,9.3,1.1,0.1,4,146,10,23,1.7
30,149,33.1,6.4,0.5,17,401,25,181,2.1
10,5,1.0,0.5,0.0,5,60,4,13,0.5
15,16,3.8,0.7,0.2,80,260,11,40,1.6
15,31,6.3,1.3,0.3,3,175,10,10,1.7
15,25,6.0,1.0,0.2,2,229,14,9,3.0
15,25,5.3,1.9,0.3,30,299,15,22,2.0
10,25,6.0,1.2,0.1,9,170,9,47,2.0
10,41,6.6,3.9,0.7,699,352,17,7,1.6
38,74,16.0,2.6,0.6,479,800,26,42,2.4
10,86,7.2,9.6,1.9,1086,262,13,37,0.6
